,community1,community2,edges
865,3,477,4
866,3,588,6
867,3,553,4
868,3,479,4
869,3,480,2
870,3,482,11
871,3,488,8
872,3,2082,4
873,3,2274,2
874,3,2065,5
875,3,492,4
876,3,494,2
877,3,1191,25
878,3,502,1
879,3,505,3
880,3,506,3
881,3,507,14
882,3,508,5
883,3,509,1
884,3,647,10
885,3,679,2
886,3,512,3
887,3,515,1
888,3,572,2
889,3,518,10
890,3,1597,2
891,3,520,1
892,3,523,2
893,3,1007,6
894,3,2210,5
895,3,1070,4
896,3,525,2
897,3,566,4
898,3,531,4
899,3,242,5
900,3,533,1
901,3,534,4
902,3,535,1
903,3,538,9
904,3,540,4
905,3,541,3
906,3,542,2
907,3,543,3
908,3,544,5
909,3,1846,5
910,3,546,1
911,3,547,8
912,3,1573,11
913,3,549,2
914,3,1177,5
915,3,1555,7
916,3,554,3
917,3,1494,14
918,3,555,4
919,3,557,2
920,3,693,4
921,3,558,1
922,3,2374,6
923,3,1752,2
924,3,561,4
925,3,562,3
926,3,2318,1
927,3,564,1
928,3,565,3
929,3,661,2
930,3,1085,7
931,3,579,2
932,3,580,6
933,3,2133,2
934,3,2458,1
935,3,897,8
936,3,585,1
937,3,591,1
938,3,593,2
939,3,290,1
940,3,595,3
941,3,596,6
942,3,2142,2
943,3,819,1
944,3,598,2
945,3,1998,5
946,3,602,4
947,3,631,1
948,3,607,11
949,3,608,13
950,3,609,3
951,3,610,4
952,3,611,3
953,3,614,1
954,3,615,3
955,3,618,5
956,3,2029,4
957,3,619,1
958,3,621,1
959,3,571,1
960,3,687,1
961,3,814,4
962,3,962,1
963,3,635,2
964,3,636,3
965,3,499,1
966,3,640,5
967,3,641,3
968,3,2057,8
969,3,643,5
970,3,646,2
971,3,2034,4
972,3,650,2
973,3,807,1
974,3,2415,2
975,3,689,2
976,3,653,1
977,3,2545,3
978,3,656,5
979,3,796,2
980,3,2417,5
981,3,660,2
982,3,2342,2
983,3,1600,1
984,3,667,8
985,3,668,2
986,3,669,1
987,3,672,3
988,3,674,1
989,3,675,3
990,3,718,8
991,3,677,12
992,3,678,5
993,3,680,2
994,3,681,8
995,3,682,5
996,3,684,1
997,3,1029,5
998,3,1577,4
999,3,729,1
1000,3,878,8
1001,3,1979,1
1002,3,690,3
1003,3,691,3
1004,3,695,1
1005,3,696,7
1006,3,697,2
1007,3,698,4
1008,3,1748,11
1009,3,704,1
1010,3,1113,1
1011,3,706,2
1012,3,812,25
1013,3,522,1
1014,3,1785,3
1015,3,710,7
1016,3,711,3
1017,3,713,2
1018,3,715,5
1019,3,2370,3
1020,3,721,3
1021,3,724,1
1022,3,727,5
1023,3,783,5
1024,3,730,3
1025,3,612,1
1026,3,734,1
1027,3,1068,15
1028,3,736,1
1029,3,811,3
1030,3,738,6
1031,3,740,3
1032,3,1609,3
1033,3,1601,15
1034,3,1602,5
1035,3,741,1
1036,3,743,2
1037,3,744,2
1038,3,745,4
1039,3,739,7
1040,3,746,1
1041,3,748,1
1042,3,753,3
1043,3,759,1
1044,3,760,1
1045,3,761,10
1046,3,1959,5
1047,3,1311,8
1048,3,1813,8
1049,3,763,2
1050,3,764,6
1051,3,765,5
1052,3,766,3
1053,3,767,3
1054,3,1666,3
1055,3,2116,12
1056,3,937,7
1057,3,769,1
1058,3,772,8
1059,3,773,3
1060,3,775,1
1061,3,778,5
1062,3,779,7
1063,3,781,7
1064,3,782,2
1065,3,65,1
1066,3,786,3
1067,3,2228,20
1068,3,910,2
1069,3,789,2
1070,3,1470,2
1071,3,880,1
1072,3,987,9
1073,3,1672,4
1074,3,797,1
1075,3,798,6
1076,3,803,1
1077,3,813,1
1078,3,1934,5
1079,3,821,4
1080,3,858,1
1081,3,822,13
1082,3,1894,2
1083,3,826,1
1084,3,827,3
1085,3,828,1
1086,3,2330,2
1087,3,1744,3
1088,3,830,7
1089,3,831,11
1090,3,834,2
1091,3,816,2
1092,3,835,2
1093,3,840,1
1094,3,1342,1
1095,3,2184,4
1096,3,841,1
1097,3,1125,1
1098,3,844,4
1099,3,847,4
1100,3,849,1
1101,3,852,3
1102,3,980,7
1103,3,853,1
1104,3,855,2
1105,3,857,3
1106,3,859,6
1107,3,863,1
1108,3,866,4
1109,3,867,1
1110,3,870,1
1111,3,2186,3
1112,3,872,4
1113,3,1312,3
1114,3,873,1
1115,3,879,2
1116,3,882,1
1117,3,884,7
1118,3,886,4
1119,3,889,2
1120,3,1388,3
1121,3,1115,5
1122,3,898,2
1123,3,899,1
1124,3,902,1
1125,3,903,4
1126,3,905,1
1127,3,907,2
1128,3,909,3
1129,3,914,8
1130,3,358,2
1131,3,1473,6
1132,3,917,2
1133,3,918,1
1134,3,919,2
1135,3,921,1
1136,3,922,1
1137,3,927,4
1138,3,930,2
1139,3,931,6
1140,3,933,3
1141,3,934,3
1142,3,935,1
1143,3,938,1
1144,3,941,1
1145,3,946,1
1146,3,949,1
1147,3,950,3
1148,3,951,2
1149,3,1401,5
1150,3,2101,2
1151,3,956,1
1152,3,958,6
1153,3,959,3
1154,3,961,8
1155,3,963,1
1156,3,456,1
1157,3,45,4
1158,3,969,2
1159,3,971,11
1160,3,974,1
1161,3,979,2
1162,3,982,1
1163,3,983,10
1164,3,984,5
1165,3,985,1
1166,3,989,1
1167,3,991,1
1168,3,993,2
1169,3,998,4
1170,3,749,1
1171,3,1008,1
1172,3,1010,1
1173,3,1011,3
1174,3,1592,2
1175,3,1012,3
1176,3,1015,1
1177,3,1689,3
1178,3,1019,5
1179,3,1020,3
1180,3,1028,12
1181,3,342,3
1182,3,1214,5
1183,3,1036,1
1184,3,1080,6
1185,3,1037,3
1186,3,1040,2
1187,3,1042,2
1188,3,1045,1
1189,3,1058,2
1190,3,1060,7
1191,3,1061,3
1192,3,1062,4
1193,3,1065,2
1194,3,1069,5
1195,3,1071,4
1196,3,1074,3
1197,3,1143,3
1198,3,1082,2
1199,3,1096,1
1200,3,1103,2
1201,3,1105,2
1202,3,1202,1
1203,3,1116,2
1204,3,1124,1
1205,3,1127,1
1206,3,1128,3
1207,3,1129,1
1208,3,1131,4
1209,3,1133,5
1210,3,1134,1
1211,3,1135,2
1212,3,1137,1
1213,3,1139,10
1214,3,1142,5
1215,3,1145,2
1216,3,1149,2
1217,3,1153,2
1218,3,2372,3
1219,3,1160,1
1220,3,2506,5
1221,3,1164,4
1222,3,2109,1
1223,3,1167,3
1224,3,1173,3
1225,3,1175,4
1226,3,1176,1
1227,3,1178,1
1228,3,1179,2
1229,3,1181,1
1230,3,1184,3
1231,3,1185,4
1232,3,1187,7
1233,3,1193,1
1234,3,1203,4
1235,3,1206,1
1236,3,1207,1
1237,3,1513,5
1238,3,1208,1
1239,3,1213,2
1240,3,1217,5
1241,3,1874,13
1242,3,1221,1
1243,3,1225,1
1244,3,1227,1
1245,3,1326,4
1246,3,1230,1
1247,3,1235,2
1248,3,1236,2
1249,3,1238,1
1250,3,1239,5
1251,3,1240,1
1252,3,1241,1
1253,3,1243,6
1254,3,1246,1
1255,3,1252,1
1256,3,1253,5
1257,3,1669,6
1258,3,1258,12
1259,3,1260,1
1260,3,1261,1
1261,3,1263,3
1262,3,1267,1
1263,3,1268,2
1264,3,1269,3
1265,3,1565,4
1266,3,1661,6
1267,3,2622,1
1268,3,1280,5
1269,3,1286,5
1270,3,1292,5
1271,3,1517,6
1272,3,1305,1
1273,3,1310,2
1274,3,398,2
