max_degree,mean_degree,median_degree,nodes
5,4.5,4.5,2
9,6.0,6.0,2
12,7.333333333333333,6.0,3
4,3.0,3.0,2
18,11.5,12.5,4
4,3.5,3.5,2
16,12.5,12.5,4
4,3.5,3.5,2
3,2.5,2.5,2
7,5.0,5.0,2
10,7.25,8.0,4
3,2.5,2.5,2
8,5.666666666666667,5.0,3
4,3.0,3.0,2
9,7.5,7.5,2
7,4.333333333333333,4.0,3
6,5.0,5.0,2
18,8.75,6.0,4
7,6.5,6.5,2
16,10.75,10.5,4
8,4.4,4.0,5
10,8.0,8.0,2
6,6.0,6.0,2
9,6.25,6.0,4
7,6.0,6.0,2
6,4.5,4.5,2
14,10.0,8.0,3
9,7.4,8.0,5
4,3.0,3.0,2
4,3.0,3.0,2
4,3.5,3.5,2
228,38.14912280701754,27.0,114
17,11.0,10.0,3
3,2.0,2.0,3
5,3.5,3.5,2
3,3.0,3.0,2
7,5.666666666666667,6.0,3
17,12.285714285714286,15.0,7
3,2.5,2.5,2
10,7.0,8.0,3
8,5.0,5.0,2
9,7.5,7.5,2
6,4.5,4.5,2
7,6.0,6.0,2
4,4.0,4.0,2
7,4.0,3.0,3
8,6.0,7.0,3
6,6.0,6.0,2
7,6.0,6.0,2
8,3.8,3.0,5
11,9.666666666666666,9.0,3
14,9.333333333333334,10.0,6
4,3.0,3.0,2
8,8.0,8.0,2
7,5.666666666666667,6.0,3
9,5.5,5.5,2
4,3.5,3.5,2
7,4.5,4.5,4
12,7.0,5.0,5
7,6.5,6.5,2
14,9.333333333333334,8.0,3
9,7.0,6.0,3
3,2.5,2.5,2
2,1.5,1.5,2
11,7.666666666666667,6.0,3
8,6.333333333333333,7.0,3
4,4.0,4.0,2
3,2.5,2.5,2
11,7.0,6.0,4
7,5.5,5.5,2
4,3.0,3.0,2
2,2.0,2.0,2
4,3.5,3.5,2
7,6.0,6.0,2
4,4.0,4.0,3
22,18.0,17.5,6
5,4.5,4.5,2
24,9.555555555555555,7.0,9
4,3.0,3.0,2
6,5.0,5.0,2
15,10.5,10.5,4
5,4.0,4.0,2
9,6.5,6.5,2
3,3.0,3.0,2
5,4.0,4.0,2
