Community,Topic,Time,Mean Sentiment
3.0,0.0,425.0,0.4192733695090784
3.0,0.0,426.0,0.42025622903627063
3.0,0.0,427.0,0.4204172635061953
3.0,0.0,428.0,0.4180047697177842
3.0,0.0,429.0,0.41934361549165117
3.0,0.0,430.0,0.4201581070784479
3.0,0.0,431.0,0.42200695428598234
3.0,0.0,432.0,0.41607045194049647
3.0,0.0,433.0,0.41780841942414576
3.0,0.0,434.0,0.41441747874494944
3.0,0.0,435.0,0.4154684480176844
3.0,0.0,436.0,0.4242694407497037
3.0,0.0,437.0,0.4197156605462423
3.0,0.0,438.0,0.4173441565632883
3.0,0.0,439.0,0.4193371819888739
3.0,0.0,440.0,0.4193236469020463
3.0,0.0,441.0,0.4206170518767105
3.0,0.0,442.0,0.42005674920283637
3.0,0.0,443.0,0.41938307691534515
3.0,0.0,444.0,0.41933637919683936
3.0,0.0,445.0,0.41738452348176336
3.0,0.0,446.0,0.4197852131887045
3.0,0.0,447.0,0.4170314479594146
3.0,0.0,448.0,0.41706758640325386
3.0,0.0,449.0,0.4145744777220367
3.0,0.0,450.0,0.42089245785855184
3.0,0.0,451.0,0.41696391085827156
3.0,0.0,452.0,0.4160525085759986
3.0,0.0,453.0,0.4136804214519633
3.0,0.0,454.0,0.4184320067801503
3.0,0.0,455.0,0.41881845957998926
3.0,0.0,456.0,0.4195765690102875
3.0,0.0,457.0,0.4141500751025694
3.0,0.0,458.0,0.41471364370230657
3.0,0.0,459.0,0.41543689247279725
3.0,0.0,460.0,0.418319028923887
3.0,0.0,461.0,0.4160480329101865
3.0,0.0,462.0,0.4172331957132712
3.0,0.0,463.0,0.4198456980870809
3.0,0.0,464.0,0.4127727411298619
3.0,0.0,465.0,0.4141928048516766
3.0,0.0,466.0,0.4161413571178801
3.0,0.0,467.0,0.4143892939149736
3.0,0.0,468.0,0.41475346044597106
3.0,0.0,469.0,0.4152180898780946
3.0,0.0,470.0,0.4165201731290176
3.0,0.0,471.0,0.4176953036665202
3.0,0.0,472.0,0.41357452636007686
3.0,0.0,473.0,0.4123449349823874
3.0,0.0,474.0,0.4154227638152387
3.0,0.0,475.0,0.4148418813967498
3.0,0.0,476.0,0.41766165042438924
3.0,0.0,477.0,0.41662943914284783
3.0,0.0,478.0,0.41293318172997806
3.0,0.0,479.0,0.41796915537652063
3.0,0.0,480.0,0.41227638154850216
3.0,0.0,481.0,0.4125472952389571
3.0,0.0,482.0,0.4113463268404295
3.0,0.0,483.0,0.4156899820241634
3.0,0.0,484.0,0.4136815427365755
3.0,0.0,485.0,0.4170881346260496
3.0,0.0,486.0,0.4127538890030869
3.0,0.0,487.0,0.412601693155684
3.0,0.0,488.0,0.4096194707051123
3.0,0.0,489.0,0.41421989244883267
3.0,0.0,490.0,0.4106461134881346
3.0,0.0,491.0,0.41046778863583394
3.0,0.0,492.0,0.4150934956454065
3.0,0.0,493.0,0.4118241098043655
3.0,0.0,494.0,0.41114466222179086
3.0,0.0,495.0,0.4132840007656319
3.0,0.0,496.0,0.41162978486640606
3.0,0.0,497.0,0.4131011047024717
3.0,0.0,498.0,0.4113962850091197
3.0,0.0,499.0,0.41015400461569607
3.0,0.0,500.0,0.4131265614979734
3.0,0.0,501.0,0.4135840074636481
3.0,0.0,502.0,0.4105752779169166
3.0,0.0,503.0,0.4099713781837223
3.0,0.0,504.0,0.4120993824624671
3.0,0.0,505.0,0.4147180313112908
3.0,0.0,506.0,0.40781157987235817
3.0,0.0,507.0,0.4139907430434105
3.0,0.0,508.0,0.4111475804820124
3.0,0.0,509.0,0.41362002896464894
3.0,0.0,510.0,0.41224857737528764
3.0,0.0,511.0,0.41348905630042354
3.0,0.0,512.0,0.4098101970849909
3.0,0.0,513.0,0.4107472765037531
3.0,0.0,514.0,0.4130805083249969
3.0,0.0,515.0,0.4058872030585386
3.0,0.0,516.0,0.41047656908913194
3.0,0.0,517.0,0.4071923817182098
3.0,0.0,518.0,0.41333336939689763
3.0,0.0,519.0,0.40962372913704265
3.0,0.0,520.0,0.40851957520280563
3.0,0.0,521.0,0.41038014105611187
3.0,0.0,522.0,0.4098193621679211
3.0,0.0,523.0,0.40921848451052445
3.0,0.0,524.0,0.4109341358712748
3.0,0.0,525.0,0.4115166935852861
3.0,0.0,526.0,0.40986634287884005
3.0,0.0,527.0,0.4097438338040693
3.0,0.0,528.0,0.40864515005507224
3.0,0.0,529.0,0.40831591508613846
3.0,0.0,530.0,0.40906763567602716
3.0,0.0,531.0,0.40561918346708964
3.0,0.0,532.0,0.41103101821122745
3.0,0.0,533.0,0.4064270870385396
3.0,0.0,534.0,0.4117230357255107
3.0,0.0,535.0,0.40905235894547665
3.0,0.0,536.0,0.4074992964491257
3.0,0.0,537.0,0.41071288607436834
3.0,0.0,538.0,0.404794768417254
3.0,0.0,539.0,0.40621335838999867
3.0,0.0,540.0,0.4084222159935238
3.0,0.0,541.0,0.4034947789844978
3.0,0.0,542.0,0.40029267000845475
3.0,0.0,543.0,0.40468538306311486
3.0,0.0,544.0,0.4067074129740984
